LINKID,CELLID,LAC,
188,20822,25487,
189,20822,25487,
190,20822,25487,
191,20822,25487,
192,20822,25487,
193,20822,25487,
194,20822,25487,
195,20822,25487,
196,20822,25487,
197,20822,25487,
198,20822,25487,
199,20822,25487,
200,20822,25487,
201,20822,25487,
202,20822,25487,
203,20822,25487,
204,20822,25487,
205,20822,25487,
206,20822,25487,
10273,20822,25487,
10276,20822,25487,
10272,20822,25487,
10277,20822,25487,
10281,20822,25487,
10282,20822,25487,
10271,20822,25487,
10274,20822,25487,
10270,20822,25487,
10283,20822,25487,
10275,20822,25487,
10279,20822,25487,
10280,20822,25487,
10278,20822,25487,
10269,20822,25487,
10268,20822,25487,
181,20822,54676,
640,20822,54676,
149,20822,54526,
628,20822,54526,
180,20822,45497,
179,20822,45497,
178,20822,54672,
641,20822,54672,
10586,20822,41403,Zhenghe@Taiping
10587,20822,41403,
10588,20822,41403,
10589,20822,41403,
10590,20822,41403,
10591,20822,41403,
10592,20822,41403,
10593,20822,41403,
10594,20822,41403,
10595,20822,41403,
10596,20822,41403,
10597,20822,41403,
10598,20822,41403,
10599,20822,41403,
10600,20822,41403,
10601,20822,41403,
10602,20822,41403,
10603,20822,41403,
10604,20822,41403,
10605,20822,41403,
10606,20822,41403,
10607,20822,41403,
10608,20822,41403,
10609,20822,41403,
10610,20822,41403,
10611,20822,41403,
10612,20822,41403,
10613,20822,41403,
10614,20822,41403,
401,20822,41403,
402,20822,41403,
403,20822,41403,
404,20822,41403,
405,20822,41403,
406,20822,41403,
407,20822,41403,
408,20822,41403,
409,20822,41403,
410,20822,41403,
411,20822,41403,
412,20822,41403,
413,20822,41403,
414,20822,41403,
415,20822,41403,
416,20822,41403,
417,20822,41403,
418,20822,41403,
419,20822,41403,
420,20822,41403,
421,20822,41403,
422,20822,41403,
423,20822,41403,
10619,20822,41403,
10625,20822,41403,
10627,20822,41403,
10629,20822,41403,
10628,20822,41403,
10624,20822,41403,
10617,20822,41403,
10616,20822,41403,
10620,20822,41403,
10618,20822,41403,
10621,20822,41403,
10623,20822,41403,
10615,20822,41403,
10626,20822,41403,
10630,20822,41403,
10622,20822,41403,
370,20822,41406,
630,20822,41406,
399,20969,5402,
400,20969,5402,
398,20969,54254,
644,20969,54254,
288,53631,41403,
647,53631,41403,
287,53631,49003,
638,53631,49003,
15,20969,15400,
633,20969,15400,
262,20969,54002,
649,20969,54002,
290,20969,25401,
289,20969,25401,
10716,20969,25401,
509,20969,25401,
10715,20969,25401,
10717,20969,25401,
289,20969,25401,
10719,20969,25401,
510,20969,25401,
10718,20969,25401,
10720,20969,25401,
261,20969,25427,
650,20969,25427,
7,20822,24121,
637,20822,24121,
260,20822,54676,
651,20822,54676,
10,20696,54271,
654,20696,54271,
10457,20822,25478,Chaoyang@Taiping
10458,20822,25478,
10459,20822,25478,
10460,20822,25478,
10461,20822,25478,
10462,20822,25478,
10463,20822,25478,
10464,20822,25478,
10465,20822,25478,
10466,20822,25478,
10467,20822,25478,
10468,20822,25478,
10469,20822,25478,
10470,20822,25478,
10471,20822,25478,
10472,20822,25478,
10473,20822,25478,
10474,20822,25478,
10475,20822,25478,
10476,20822,25478,
10477,20822,25478,
10478,20822,25478,
10479,20822,25478,
10480,20822,25478,
10481,20822,25478,
315,20822,25478,
316,20822,25478,
317,20822,25478,
318,20822,25478,
319,20822,25478,
320,20822,25478,
321,20822,25478,
322,20822,25478,
325,20822,25478,
326,20822,25478,
327,20822,25478,
328,20822,25478,
329,20822,25478,
330,20822,25478,
331,20822,25478,
332,20822,25478,
333,20822,25478,
334,20822,25478,
335,20822,25478,
336,20822,25478,
337,20822,25478,
338,20822,25478,
10496,20822,25478,
10487,20822,25478,
10490,20822,25478,
10492,20822,25478,
10491,20822,25478,
10488,20822,25478,
10483,20822,25478,
10484,20822,25478,
10495,20822,25478,
10485,20822,25478,
10494,20822,25478,
10489,20822,25478,
10497,20822,25478,
10482,20822,25478,
10486,20822,25478,
10493,20822,25478,
259,53631,44272,
652,53631,44272,
177,20822,41561,
642,20822,41561,
313,20822,45478,
314,20822,45478,
324,20969,54275,
323,20969,54275,
10818,20969,54275,
10819,20969,54275,
10821,20969,54275,
580,20969,54275,
10820,20969,54275,
10822,20969,54275,
10781,20969,41203,Zhenghe@Renmin
10782,20969,41203,
10783,20969,41203,
10784,20969,41203,
10785,20969,41203,
10786,20969,41203,
10787,20969,41203,
10788,20969,41203,
10789,20969,41203,
10790,20969,41203,
10791,20969,41203,
10792,20969,41203,
10793,20969,41203,
10794,20969,41203,
10795,20969,41203,
10796,20969,41203,
10797,20969,41203,
10798,20969,41203,
10799,20969,41203,
10800,20969,41203,
10801,20969,41203,
10802,20969,41203,
10803,20969,41203,
10804,20969,41203,
549,20969,41203,
550,20969,41203,
551,20969,41203,
552,20969,41203,
553,20969,41203,
554,20969,41203,
555,20969,41203,
556,20969,41203,
557,20969,41203,
558,20969,41203,
559,20969,41203,
560,20969,41203,
561,20969,41203,
562,20969,41203,
563,20969,41203,
564,20969,41203,
565,20969,41203,
566,20969,41203,
567,20969,41203,
568,20969,41203,
569,20969,41203,
570,20969,41203,
571,20969,41203,
572,20969,41203,
10815,20969,41203,
10810,20969,41203,
10814,20969,41203,
10811,20969,41203,
10816,20969,41203,
10808,20969,41203,
10807,20969,41203,
10812,20969,41203,
10809,20969,41203,
10806,20969,41203,
10813,20969,41203,
10805,20969,41203,
545,20969,34053,
548,20969,34053,
397,20969,41206,
643,20969,41206,
485,20969,24065,
646,20969,24065,
547,20969,40533,
546,20969,40533,
486,20969,5414,
645,20969,5414,
507,20969,5412,
508,20969,5412,
459,20969,5415,
655,20969,5415,
487,20969,35426,
658,20969,35426,
460,20969,54194,
656,20969,54194,
9,20969,54273,
653,20969,54273,
458,20969,54192,
659,20969,54192,
431,20969,25418,
662,20969,25418,
10823,20822,15403,Chaoyang@Renmin
10824,20822,15403,
10825,20822,15403,
